sentence_id,treatment,cures,medical,treatment_first_index,treatment_last_index,cures_first_index,cures_last_index,medical_first_index,medical_last_index,sentence_text
32058792,Targeted therapy,cures,transplanted,0,1,11,11,13,13,Targeted therapy via oral administration of attenuated Salmonella expression plasmid-vectored Stat3-shRNA cures orthotopically transplanted mouse HCC .
33361185,treatment of gastrointestinal disease,cures,the extraintestinal complaints,16,19,20,20,24,26,"In some instances , the association between gastrointestinal pathology and extraintestinal disease is so strong that treatment of gastrointestinal disease cures the patient of the extraintestinal complaints ."
34271343,Vivo HSC Gene Therapy,Cures,Sickle Cell Disease,2,5,11,11,12,14,In   Vivo HSC Gene Therapy Using a Bi-modular HDAd5/35++ Vector Cures Sickle Cell Disease in a Mouse Model .
34540658,Successful eradication of the infection,cures,gastric ulcer diathesis,0,4,5,5,11,13,Successful eradication of the infection cures both the duodenal ulcer and gastric ulcer diathesis .
34540658,Successful eradication of the infection,cures,the duodenal ulcer,0,4,5,5,7,9,Successful eradication of the infection cures both the duodenal ulcer and gastric ulcer diathesis .
34740571,The posterior rhizotomy,cures,their urinary incontinence,0,2,12,12,13,15,"The posterior rhizotomy that is commonly done at the same time usually cures their urinary incontinence , and may greatly improve bladder compliance ."
35512433,Portocaval shunt surgery,cures,portal hypertensive gastropathy,0,2,3,3,4,6,Portocaval shunt surgery cures portal hypertensive gastropathy but propranolol has been shown to be highly effective in controlling haemorrhage from this condition and should now be considered the treatment of choice .
35723896,Cell-based immunotherapy,cures,bisphosphonate-related osteonecrosis of the jaw-like disease,0,1,6,6,7,12,Cell-based immunotherapy with mesenchymal stem cells cures bisphosphonate-related osteonecrosis of the jaw-like disease in mice .
35978448,A single dose of antibody-drug conjugate,cures,African trypanosomiasis,0,5,6,6,12,13,A single dose of antibody-drug conjugate cures a stage 1 model of African trypanosomiasis .
36261541,the Meso-Rex bypass,cures,the portal hypertension,2,4,12,12,13,15,"Importantly , the Meso-Rex bypass allows restoring a normal portal flow and cures the portal hypertension ."
37526070,VNI,cures,acute and chronic experimental Chagas disease,0,0,1,1,2,7,VNI cures acute and chronic experimental Chagas disease .
40044271,treatment with NaB in association with interleukin,cures,peritoneal carcinomatosis,4,10,16,16,20,21,"We previously observed that treatment with NaB in association with interleukin 2 ( IL2 ) , cures 60 % of peritoneal carcinomatosis induced by injection of DHDK12/TRb cells in syngenic rats [ 15 ] ."
41236904,Eradication of Helicobacter pylori,cures,peptic ulcer disease,0,3,17,17,18,20,"Eradication of Helicobacter pylori from the stomach by triple therapy with bismuth , tetracycline , and metronidazole cures peptic ulcer disease ."
42053605,5 % monolaurin vaginal gel,cures,bacterial vaginosis,11,15,34,34,35,36,"The aim of the study was to test the hypothesis that 5 % monolaurin vaginal gel , a naturally occurring monoglyceride shown to have antimicrobial effects on vaginal pathogens without affecting Lactobacillus species , cures bacterial vaginosis ( BV ) ."
42053605,a naturally occurring monoglyceride,cures,bacterial vaginosis,17,20,34,34,35,36,"The aim of the study was to test the hypothesis that 5 % monolaurin vaginal gel , a naturally occurring monoglyceride shown to have antimicrobial effects on vaginal pathogens without affecting Lactobacillus species , cures bacterial vaginosis ( BV ) ."
42257187,Combinational cryosurgery,cures,invading basal cell carcinoma,0,1,12,12,13,16,Combinational cryosurgery during daily imiquimod application ( ' immunocryosurgery ' ) efficiently cures invading basal cell carcinoma ( BCC ) .
42257187,immunocryosurgery,cures,invading basal cell carcinoma,8,8,12,12,13,16,Combinational cryosurgery during daily imiquimod application ( ' immunocryosurgery ' ) efficiently cures invading basal cell carcinoma ( BCC ) .
42278732,multicopy plasmid,cures,the [ PSI+ ] prion,5,6,11,11,14,18,"Moreover , we demonstrate that multicopy plasmid encoding the Ssb1 chaperone cures cells of the [ PSI+ ] prion ."
43808304,eradication of the organism,cures,peptic ulcer disease,17,20,21,21,22,24,"Infection with Helicobacter pylori is the main etiological factor in duodenal and gastric ulcer disease , and eradication of the organism cures peptic ulcer disease ."
44371267,Norfloxacin,cures,bacterial gastroenteritis,0,0,15,15,16,17,"Norfloxacin is as effective as spectinomycin in gonorrhoea due to penicillin-resistant N. gonorrhoeae , and cures bacterial gastroenteritis caused by several gastrointestinal pathogens ."
45339016,Moxifloxacin,cures,bacterial conjunctivitis,0,0,10,10,11,12,Moxifloxacin 0.5 % administered three times daily is safe and cures bacterial conjunctivitis more effectively and significantly faster than polymyxin/trimethoprim dosed four times daily .
45770685,Simple excision,cures,this benign neoplasm,0,1,2,2,3,5,"Simple excision cures this benign neoplasm , and recurrences are rare ."
48289363,Traditional cytotoxic chemotherapy,cures,a small minority,0,2,14,14,15,17,Traditional cytotoxic chemotherapy is effective at temporizing AML in the majority of patients but cures a small minority .
48626121,Its stem,cures,urinary disease,0,1,15,15,30,31,"Its stem is bitter , stomachic , stimulates bile secretion , enriches the blood and cures diseases like diabetes , fever , flatulence , hypertension , jaundice , leucorrhoea , urinary disease and upper respiratory tract infection ."
48626121,Its stem,cures,upper respiratory tract infection,0,1,15,15,33,36,"Its stem is bitter , stomachic , stimulates bile secretion , enriches the blood and cures diseases like diabetes , fever , flatulence , hypertension , jaundice , leucorrhoea , urinary disease and upper respiratory tract infection ."
49767918,an extended lymph node dissection,cures,more patients,14,18,19,19,20,21,"The review also presents recent articles that add to the body of literature suggesting an extended lymph node dissection cures more patients than lesser anatomic templates of lymphadenectomy , including some patients with common iliac lymph node metastases ."
50460839,Ultra-rapid near universal TB drug regimen,cures,conventional and high susceptibility,0,5,12,12,16,19,Ultra-rapid near universal TB drug regimen identified via parabolic response surface platform cures mice of both conventional and high susceptibility .
50684380,Renal denervation,cures,severe intractable pain,0,1,2,2,3,5,Renal denervation cures severe intractable pain in about 25 % of patients .
50732527,eradication of Helicobacter pylori,cures,a significant number of patients,17,20,21,21,22,26,"In patients with idiopathic thrombocytopenic purpura ( ITP ) , which is considered an autoimmune disease , eradication of Helicobacter pylori cures a significant number of patients ."
53430355,reconstructive pelvic surgery,cures,urinary retention,30,32,36,36,37,38,"This study aimed to determine whether preoperative pessary reduction of anterior vaginal wall prolapse in patients with elevated postvoid residual ( PVR ) volumes relieves urinary retention , and if reconstructive pelvic surgery in these patients cures urinary retention ."
53567661,Therapy,cures,blood-stage malaria,0,0,13,13,14,15,"Therapy with a combination of low doses of interleukin 12 and chloroquine completely cures blood-stage malaria , prevents severe anemia , and induces immunity to reinfection ."
54033053,radiation therapy,cures,a high proportion of patients with T1 glottic cancer,1,2,3,3,4,12,"Although radiation therapy cures a high proportion of patients with T1 glottic cancer , the quality of voice does not return to normal following treatment ."
54658894,Squalestatin,cures,prion-infected neurons,0,0,1,1,2,3,Squalestatin cures prion-infected neurons and protects against prion neurotoxicity .
54824418,Responsive Mitochondrial Gene Therapy,Cures,Leber 's Hereditary Optic Neuropathy,1,4,10,10,11,15,Pathologically Responsive Mitochondrial Gene Therapy in an Allotopic Expression-Independent Manner Cures Leber 's Hereditary Optic Neuropathy .
55020844,A properly performed operation,cures,chronic subareolar abscess,0,3,6,6,7,9,A properly performed operation almost always cures chronic subareolar abscess and fistula .
56989388,This procedure,cures,anal fistulas,0,1,13,13,14,15,"This procedure is technically simple , heals rapidly with minimal scarring , and cures anal fistulas while preserving the anal sphincter ."
57415188,cold thermal therapy,cures,TMA-induced CHS,4,6,7,7,11,12,"These results indicated that cold thermal therapy cures skin inflammation of TMA-induced CHS by decreasing Th2 cytokine release , especially IL-4 and IL-5 , and mast cell activation ."
57512396,combination treatment with ledipasvir/sofosbuvir,cures,most patients with genotype 1 hepatitis C infection,5,8,10,10,11,18,Clinical studies have shown that combination treatment with ledipasvir/sofosbuvir efficiently cures most patients with genotype 1 hepatitis C infection .
58093685,no therapy,cures,functional dyspepsia,4,5,7,7,8,9,"While there is currently no therapy that cures functional dyspepsia , the therapeutic target is to control symptoms ."
58857587,an anterior hemifundoplication,cures,preexisting gastroesophageal reflux,3,5,8,8,9,11,"The addition of an anterior hemifundoplication not only cures preexisting gastroesophageal reflux , but also prevents the development of postoperative gastroesophageal reflux ."
62804641,Hepatic artery embolization,cures,the acute pancreatitis,0,2,3,3,4,6,Hepatic artery embolization cures the acute pancreatitis associated with a tiny arteriobiliary fistula after TIPS : A case report .
63520165,original surgical repair,cures,cardiac achalasia,6,8,10,10,14,15,According to clinical and instrumental data original surgical repair completely cures the symptoms of cardiac achalasia and restores normal esophageal dimensions and structure early after intervention .
63933998,Endoscopic injection therapy,cures,vesicoureteric reflux,0,2,4,4,5,6,Endoscopic injection therapy successfully cures vesicoureteric reflux in 60 % to 80 % of cases .
64486797,Breast cancer radiation therapy,cures,many women,0,3,4,4,5,6,"Breast cancer radiation therapy cures many women , but where the heart is exposed , it can cause heart disease ."
65992381,Current cisplatin-based combination therapies,cures,most patients,0,3,4,4,5,6,"Current cisplatin-based combination therapies cures most patients , however at the cost of significant toxicity to normal tissues ."
66836912,liver transplantation,cures,the underlying metabolic defect,10,11,20,20,21,24,"When the primary metabolic defect is hepatic in origin , liver transplantation not only replaces the dysfunctional organ but also cures the underlying metabolic defect ."
67268283,Nissen fundoplication,cures,endoscopic oesophagitis,0,1,11,11,12,13,Nissen fundoplication gives lasting relief from symptoms of gastro-oesophageal reflux and cures endoscopic oesophagitis effectively .
68090500,aHSCT,cures,a considerable number of patients with myeloid malignancies,6,6,8,8,9,16,"Allogeneic hematopoietic stem cell transplantation ( aHSCT ) cures a considerable number of patients with myeloid malignancies , but relapse is the most frequent cause of death ."
69964460,SLT-1 treatment of murine bone marrow,cures,severe combined immunodeficient mice of a human B-cell lymphoma xenograft,4,9,13,13,14,23,Here we report that SLT-1 treatment of murine bone marrow ex vivo effectively cures severe combined immunodeficient mice of a human B-cell lymphoma xenograft while sparing normal hematopoietic precursor cells .
70279159,extended field radiotherapy,cures,most patients,4,6,7,7,8,9,"At early stages , extended field radiotherapy cures most patients ."
72500618,Liver transplantation,cures,hepatocellular carcinoma,0,1,3,3,4,5,"Liver transplantation usually cures hepatocellular carcinoma when the Milan selection criteria are applied , whereas there is substantial risk of posttransplant recurrence with tumors beyond these criteria ."
73104254,Primary treatment,cures,a significant proportion,0,1,2,2,3,5,"Primary treatment cures a significant proportion of , but not all , patients ."
73206661,Folic acid supplementation,cures,hot flushes,0,2,3,3,4,5,Folic acid supplementation cures hot flushes in postmenopausal women .
73335577,Revascularization,cures,the clinical manifestations of renal artery stenosis,0,0,1,1,4,10,"Revascularization cures or attenuates the clinical manifestations of renal artery stenosis ( hypertension , ischemic nephropathy , pulmonary edema , angina , and congestive heart failure ) ."
73373692,Surgery,cures,no more than one-third of all tumors,0,0,9,9,10,16,"Surgery , either alone or with adjuvant radiotherapy , cures no more than one-third of all tumors ; for the remainder , it has a diagnostic and palliative role ."
73373692,adjuvant radiotherapy,cures,no more than one-third of all tumors,6,7,9,9,10,16,"Surgery , either alone or with adjuvant radiotherapy , cures no more than one-third of all tumors ; for the remainder , it has a diagnostic and palliative role ."
73549978,The hysteroscopic septoplasty,cures,the septate uterus,0,2,3,3,4,6,The hysteroscopic septoplasty cures the septate uterus .
74140142,Standard chemotherapy,cures,most patients,0,1,10,10,11,12,"Standard chemotherapy for disseminated germ cell tumors ( GCT ) cures most patients but causes considerable acute toxicity , including treatment-related death due to septicemia during neutropenia and pulmonary fibrosis ."
74342214,androgen ablation,cures,apoptosis-resistant clones,2,3,5,5,31,32,"However , androgen ablation rarely cures patients , most of whom will experience recurrence due to takeover of the tumor mass by androgen-independent tumor cells as well as the emergence of apoptosis-resistant clones as a result of further genetic alterations such as bcl-2 amplification ."
74905457,Radical radiotherapy,cures,a significant proportion of patients,0,1,18,18,19,23,Radical radiotherapy has a pivotal role in the treatment of head and neck cancer ( HNC ) and cures a significant proportion of patients while simultaneously sparing critical normal organs .
74963008,a topical formulation of aminoglycosides,cures,cutaneous leishmaniasis lesions in mice,7,11,13,13,17,21,"We studied the efficacy of WR279396 , a topical formulation of aminoglycosides that cures 100 % of cutaneous leishmaniasis lesions in mice ."
75284796,no treatment,cures,cutaneous mastocytosis,2,3,6,6,7,8,"There is no treatment that permanently cures cutaneous mastocytosis and patient selection will therefore have to be made on the basis of the clinical manifestations , onset of disease , the probability of spontaneous involution and the severity of cutaneous and systemic symptoms ."
75399822,nephrectomy,cures,most localized renal cancers,1,1,2,2,3,6,"Although nephrectomy cures most localized renal cancers , this oncologic benefit may be outweighed by the renal functional costs of such an approach ."
76177814,gross total resection,cures,most patients ( 75 % ) with the most common types of STS of the head,4,6,10,10,11,26,Our series documents that gross total resection followed by RT cures most patients ( 75 % ) with the most common types of STS of the head and neck .
76482144,The reactive oxygen therapy,cures,the infected skin,0,3,8,8,9,11,"The reactive oxygen therapy based on OA-MnO2 nanozyme cures the infected skin and promotes wound healing in mice , manifesting its potential use in skin and soft tissue infection ."
78172218,implanted cisplatin,cures,primary brain tumor,1,2,3,3,4,6,Intralesionally implanted cisplatin cures primary brain tumor in rats .
78375525,front-line chemotherapy,cures,most men,1,2,3,3,4,5,"Although front-line chemotherapy cures most men with testicular germ cell tumors , salvage therapy is still important in a small but significant minority ."
78434892,mRNA vaccination,cures,established tumors,0,1,12,12,13,14,mRNA vaccination with charge-altering releasable transporters elicits human T cell responses and cures established tumors in mice .
78450507,The Optimal Regimen,Cures,Helicobacter Induced Dyspepsia ( ORCHID ) Study Group,0,2,3,3,4,11,The Optimal Regimen Cures Helicobacter Induced Dyspepsia ( ORCHID ) Study Group .
78808212,a single 300 mg/kg oral dose,cures,a lower cure dose,11,16,17,17,25,28,"Tribendimidine is even more effective against C. sinensis in rats that a single 300 mg/kg oral dose cures almost all of the animals treated , a lower cure dose than praziquantel ( 375 - 500 mg/kg ) ."
78967987,Non-surgical CHOP,cures,right ventricular outflow obstruction,0,1,2,2,3,6,Non-surgical CHOP cures right ventricular outflow obstruction .
78988466,the repetitive intrathecal administration of antidepressants,cures,ICS-induced FM pain in mice,4,9,11,11,12,16,These results suggest that the repetitive intrathecal administration of antidepressants permanently cures ICS-induced FM pain in mice .
80598308,varicocelectomy,cures,male subfertility,10,10,11,11,12,13,"Although the concept that varicocele causes male subfertility and therefore varicocelectomy cures male subfertility has been around for almost fifty years now , the mechanisms by which varicocele would affect fertility have not yet been satisfactorily explained , and neither have the mechanisms by which varicocelectomy would resolve subfertility ."
80612071,vaccination,cures,some solid primary tumors,10,10,19,19,20,23,"In vivo studies in three mouse tumor models demonstrate that vaccination protects against future challenge with wild-type tumor , cures some solid primary tumors , reduces established metastatic disease , and extends mean survival time ."
81160904,Retropubic tissue fixation system,cures,stress urinary incontinence,0,3,11,11,12,14,Retropubic tissue fixation system tensioned mini-sling carried out under local anesthesia cures stress urinary incontinence and intrinsic sphincter deficiency : 1-year data .
81160904,tensioned mini-sling,cures,stress urinary incontinence,4,5,11,11,12,14,Retropubic tissue fixation system tensioned mini-sling carried out under local anesthesia cures stress urinary incontinence and intrinsic sphincter deficiency : 1-year data .
81160904,Retropubic tissue fixation system,cures,intrinsic sphincter deficiency,0,3,11,11,16,18,Retropubic tissue fixation system tensioned mini-sling carried out under local anesthesia cures stress urinary incontinence and intrinsic sphincter deficiency : 1-year data .
81160904,tensioned mini-sling,cures,intrinsic sphincter deficiency,4,5,11,11,16,18,Retropubic tissue fixation system tensioned mini-sling carried out under local anesthesia cures stress urinary incontinence and intrinsic sphincter deficiency : 1-year data .
83419361,Antibiotic chemotherapy,cures,many infections,0,1,3,3,4,5,Antibiotic chemotherapy effectively cures many infections caused by susceptible bacterial pathogens .
85771335,Hypophysectomy,cures,cardiovascular pathology,0,0,10,10,11,12,"Hypophysectomy by hypophysolysis ( 20 cases ) brings relief and cures cardiovascular pathology , reduces AH , corrects the coronary risk factors , cures hypophyseal diabetes ."
85771335,20 cases,cures,cardiovascular pathology,4,5,10,10,11,12,"Hypophysectomy by hypophysolysis ( 20 cases ) brings relief and cures cardiovascular pathology , reduces AH , corrects the coronary risk factors , cures hypophyseal diabetes ."
85771335,Hypophysectomy,cures,hypophyseal diabetes,0,0,23,23,24,25,"Hypophysectomy by hypophysolysis ( 20 cases ) brings relief and cures cardiovascular pathology , reduces AH , corrects the coronary risk factors , cures hypophyseal diabetes ."
85771335,20 cases,cures,hypophyseal diabetes,4,5,23,23,24,25,"Hypophysectomy by hypophysolysis ( 20 cases ) brings relief and cures cardiovascular pathology , reduces AH , corrects the coronary risk factors , cures hypophyseal diabetes ."
85771335,relief,cures,hypophyseal diabetes,8,8,23,23,24,25,"Hypophysectomy by hypophysolysis ( 20 cases ) brings relief and cures cardiovascular pathology , reduces AH , corrects the coronary risk factors , cures hypophyseal diabetes ."
86624502,eradication of Helicobacter pylori,cures,duodenal ulcer,1,4,5,5,6,7,"Although eradication of Helicobacter pylori cures duodenal ulcer , some patients are not infected and others are treatment failures ."
87237426,"A single , low , oral dose of a 5-carbon-linked trioxane dimer orthoester",cures,malaria-infected mice,0,12,15,15,16,17,"A single , low , oral dose of a 5-carbon-linked trioxane dimer orthoester plus mefloquine cures malaria-infected mice ."
87237426,mefloquine,cures,malaria-infected mice,14,14,15,15,16,17,"A single , low , oral dose of a 5-carbon-linked trioxane dimer orthoester plus mefloquine cures malaria-infected mice ."
88007238,allogeneic HSCT,cures,a significant population of patients with Ph+ ALL,4,5,6,6,7,14,This study demonstrates that allogeneic HSCT cures a significant population of patients with Ph+ ALL .
88664309,no drug,cures,a highly contagious and life-threatening disease,3,4,8,8,11,16,"There is currently no drug or therapy that cures COVID-19 , a highly contagious and life-threatening disease ."
95407559,Astatine-211 - -tellurium radiocolloid,cures,experimental malignant ascites,0,3,4,4,5,7,Astatine-211 - -tellurium radiocolloid cures experimental malignant ascites .
95789526,This ice system,cures,a chronic headache,0,2,3,3,4,6,This ice system cures a chronic headache .
96813829,purified fengycin,cures,infected worms,5,6,7,7,8,9,"Furthermore , we found that purified fengycin cures infected worms in a dose-dependent manner , indicating that it acts as an antibiotic ."
97305909,Lateral internal sphincterotomy,cures,chronic anal fissure,0,2,3,3,4,6,Lateral internal sphincterotomy cures chronic anal fissure by preventing internal sphincter hypertonia .
97393980,Reinforcement of suspensory ligaments,cures,pelvic organ prolapse,0,3,7,7,8,10,Reinforcement of suspensory ligaments under local anesthesia cures pelvic organ prolapse : 12-month results .
98263057,Conservative treatment,cures,an elderly pituitary apoplexy patient,0,1,2,2,3,7,Conservative treatment cures an elderly pituitary apoplexy patient with oculomotor paralysis and optic nerve compression : a case report and systematic review of the literature .
98931536,Modern combination chemotherapy,cures,a significant number of these patients,0,2,13,13,14,19,Modern combination chemotherapy provides a complete remission in a majority of patients and cures a significant number of these patients .
99688135,a treatment,cures,20 otherwise lethal diseases,3,4,7,7,12,15,It has offered a treatment which often cures patients of more than 20 otherwise lethal diseases .
99848495,Cisplatin,cures,testicular and ovarian cancers,0,0,1,1,2,5,Cisplatin cures testicular and ovarian cancers with unprecedented potency .
100494191,Oral administration of eugenol oleate,cures,experimental visceral leishmaniasis,0,4,5,5,6,8,Oral administration of eugenol oleate cures experimental visceral leishmaniasis through cytokines abundance .
101440339,Prompt initiation of appropriate antibiotic therapy,cures,most patients,0,5,9,9,10,11,Prompt initiation of appropriate antibiotic therapy for 3 weeks cures most patients at this early stage of the disease .
102486249,Stem cell selection,cures,canine pyruvate kinase deficiency,0,2,8,8,9,12,Stem cell selection in vivo using foamy vectors cures canine pyruvate kinase deficiency .
102717155,the multimodal treatment,cures,most patients,12,14,16,16,17,18,Retroperitoneal lymph node dissection ( RPLND ) is an important component of the multimodal treatment which cures most patients diagnosed with testicular germ cell tumors .
104448482,"d , l-threo-3,4-dihydroxyphenylserine",cures,orthostatic hypotension,0,2,7,7,8,9,"d , l-threo-3,4-dihydroxyphenylserine restores sympathetic control and cures orthostatic hypotension in dopamine beta-hydroxylase deficiency ."
104825144,Co-administration of glycyrrhizic acid,cures,SAG-resistant visceral leishmaniasis,0,3,14,14,15,17,Co-administration of glycyrrhizic acid with the antileishmanial drug sodium antimony gluconate ( SAG ) cures SAG-resistant visceral leishmaniasis .
106409366,"administration of ( [(Z)-4-amino-2-butenyl]methylamino)-5'-deoxyadenosine ( MDL 73811 ) , an enzyme-activated irreversible inhibitor of S-adenosyl-L-methionine decarboxylase",cures,African trypanosome infections in mice,4,19,36,36,37,41,"We reported recently that administration of ( [(Z)-4-amino-2-butenyl]methylamino)-5'-deoxyadenosine ( MDL 73811 ) , an enzyme-activated irreversible inhibitor of S-adenosyl-L-methionine decarboxylase ( AdoMetDC ; EC 4.1.1.50 ) , a key enzyme in the synthesis of spermidine , cures African trypanosome infections in mice ."
106409374,"The methyl ester of alpha-monofluromethyl-3,4-dehydro-ornithine",cures,murine T. b. brucei infections,0,4,10,10,11,15,"The methyl ester of alpha-monofluromethyl-3,4-dehydro-ornithine ( delta-MFMO-CH3 ) , which cures murine T. b. brucei infections , and the ethyl ester analogue of this compound ( delta-MFMO-C2H5 ) , which does not cure this infection , become ODC inhibitors upon hydrolysis and thus were tested for their effects on trypanosomal polyamines , AdoMet and decarboxy AdoMet levels ."
106771995,treatment regimen,cures,metastatic testicular cancer patients,33,34,35,35,41,44,"The bleomycins ( BLMs ) are used clinically in combination with a number of other agents for the treatment of several types of tumors , and the BLM , etoposide , and cisplatin treatment regimen cures 90 - 95 % of metastatic testicular cancer patients ."
107497011,transsphenoidal surgery,cures,ACTH-secreting microadenomas,5,6,9,9,13,14,"First-line treatment is based on transsphenoidal surgery , which cures 80 % of ACTH-secreting microadenomas ."
107773867,Increased Total mtDNA Copy Number,Cures,Male Infertility,0,4,5,5,6,7,Increased Total mtDNA Copy Number Cures Male Infertility Despite Unaltered mtDNA Mutation Load .
108501073,AdCD40L gene therapy,cures,aggressive tumors,0,2,8,8,9,10,AdCD40L gene therapy counteracts T regulatory cells and cures aggressive tumors in an orthotopic bladder cancer model .
109790871,13cis retinoic acid,cures,severe acne,13,15,20,20,21,22,These advances do not respond to the clinicians ' interrogation as to why 13cis retinoic acid blocks sebaceous secretion and cures severe acne while other known retinoids are uneffective .
109801084,neither procedure,cures,any particular disease,14,15,16,16,17,19,Permanent tracheostomy and tube tracheostomy are both important for patients ' supportive care ; neither procedure cures any particular disease .
110657496,Genetic engineering,cures,neurological deficits,0,1,2,2,5,6,Genetic engineering cures mice of neurological deficits : prospects for treating Angelman syndrome .
110935841,Main achievements,cures,stubborn diseases,0,1,50,50,51,52,"Main achievements : took on scientific researches of acupuncture and moxibustion , teaching and clinical works in the first stage of establishment of China Academy of Traditional Chinese Medicinel trains a large number of famous specificities of acupuncture and moxibustion for new China ; advocates study on channel essence ; cures stubborn diseases for leaders of friend countries undertaking the great trust of the central leaders for many times , becoming an important ties of Chinese political foreign affairs ."
