sentence_id,medical,are,treated,treatment,medical_first_index,medical_last_index,are_first_index,are_last_index,treated_first_index,treated_last_index,treatment_first_index,treatment_last_index,sentence_text
4668824,viable myocardium,are,treated,revascularization,2,3,5,5,6,6,8,8,"Patients with viable myocardium who are treated with revascularization rather than medical therapy have better outcomes in terms of survival , left ventricular function , symptoms , and exercise capacity ."
4776250,a positive antinuclear antibody test,are,treated,toxic medications,3,7,8,8,17,17,19,20,Many patients with a positive antinuclear antibody test are incorrectly given a diagnosis of SLE and sometimes treated with toxic medications .
4831031,advanced muscle-invasive bladder cancer,are,treated,radical cystectomy,19,22,27,27,28,28,30,31,We purposed to assess the effects of adjuvant chemotherapy ( ACH ) on survival outcomes in patients with locally advanced muscle-invasive bladder cancer ( MIBC ) who are treated with radical cystectomy ( RC ) .
5040981,nephrotic syndrome,are,treated,a course of prednisolone,3,4,9,9,10,10,12,15,"Those patients with nephrotic syndrome especially with selective proteinuria are treated with a course of prednisolone and failing that , cyclophosphamide ."
5072049,exposed,are,treated,0.5 M KCl,3,3,5,5,6,6,8,10,"When axonemes with exposed doublets are treated with 0.5 M KCl for 30 min , the compact arms and the dynein heavy (H)-chains disappear , while isolated bouquets and dynein H-chains appear in the medium , suggesting that the compact arms give rise to the bouquets as they are solubilized ."
5118740,profound biotinidase deficiency,are,treated,biotin,3,5,6,6,7,7,9,9,"The infants with profound biotinidase deficiency are treated with biotin ( 2 x 5 mg/day ) from the 3rd , 6th and 8th week of life and have developed normally so far ."
5149264,recurrent prostate cancer,are,treated,androgen withdrawal therapy,2,4,5,5,7,7,9,11,"Patients with recurrent prostate cancer are commonly treated with androgen withdrawal therapy ( AWT ) ; however , almost all patients eventually progress to castration resistant prostate cancer ( CRPC ) , indicating failure of AWT to eliminate androgen-sensitive prostate cancer ."
5215113,preexisting,are,treated,total hip replacement,2,2,6,6,7,7,9,11,Patients with preexisting hip disease also are treated with total hip replacement .
5283344,hilar biliary obstruction,are,treated,internal-external biliary drainage catheters,2,4,5,5,7,7,9,12,Patients with hilar biliary obstruction are better treated with internal-external biliary drainage catheters .
5305236,auditory neuropathy,are,treated,cochlear implantation,22,23,29,29,31,31,33,34,"The possibility of using the auditory brainstem implant as first-choice therapy in some categories of deaf patients ( e.g. , subjects with auditory neuropathy or cochlear ossification ) who are currently treated with cochlear implantation is discussed ."
5305236,cochlear ossification,are,treated,cochlear implantation,25,26,29,29,31,31,33,34,"The possibility of using the auditory brainstem implant as first-choice therapy in some categories of deaf patients ( e.g. , subjects with auditory neuropathy or cochlear ossification ) who are currently treated with cochlear implantation is discussed ."
5396664,pulmonary embolism,are,treated,low molecular weight heparin,4,5,9,9,11,11,16,19,"Traditionally , patients with pulmonary embolism ( PE ) are initially treated in the hospital with low molecular weight heparin ( LMWH ) ."
5467630,ascending aortic involvement,are,treated,surgical repair,5,7,8,8,9,9,11,12,"While most TAA cases with ascending aortic involvement are treated with surgical repair ( primarily valve-preserving techniques ) , aneurysms of the distal arch and descending thoracic aorta are amenable to alternatives to classic open repair such as the emerging endovascular treatment techniques ."
5796465,non-Hodgkin lymphoma,are,treated,a cocktail of drugs,2,3,7,7,8,8,11,14,"Patients with non-Hodgkin lymphoma ( NHL ) are treated today with a cocktail of drugs referred to as CHOP ( Cyclophosphamide , Hydroxyldaunorubicin , Oncovin , and Prednisone ) ."
5900612,mild GO,are,treated,local measures,5,6,7,7,9,9,12,13,"In contrast , patients with mild GO are generally treated only with local measures ."
6089428,tears greater,are,treated,subacromial decompression,10,11,15,15,16,16,18,19,Low demand patients with 0 to 5 cm tears or tears greater than 5 cm are treated with subacromial decompression and rotator cuff debridement .
6089428,tears greater,are,treated,rotator cuff debridement,10,11,15,15,16,16,21,23,Low demand patients with 0 to 5 cm tears or tears greater than 5 cm are treated with subacromial decompression and rotator cuff debridement .
6150987,acute lymphoblastic leukemia,are,treated,oral 6-mercaptopurine,3,5,9,9,10,10,12,13,"Pediatric patients with acute lymphoblastic leukemia ( ALL ) are treated with oral 6-mercaptopurine ( 6MP ) for nearly 2 years , but no pediatric formulation has been available ."
6175631,ischemic stroke,are,treated,long-term oral anticoagulation,2,3,10,10,11,11,13,15,Patients with ischemic stroke and atrial fibrillation ( AF ) are treated with long-term oral anticoagulation ( OAC ) because it is considerably more effective than antiplatelet ( AP ) therapy for the prevention of subsequent strokes and systemic emboli .
6175631,atrial fibrillation,are,treated,long-term oral anticoagulation,5,6,10,10,11,11,13,15,Patients with ischemic stroke and atrial fibrillation ( AF ) are treated with long-term oral anticoagulation ( OAC ) because it is considerably more effective than antiplatelet ( AP ) therapy for the prevention of subsequent strokes and systemic emboli .
6182826,symptomatic malignant pleural effusion,are,treated,large-bore chest tube placement,2,5,6,6,8,8,10,13,Patients with symptomatic malignant pleural effusion are usually treated with large-bore chest tube placement and pleurodesis requiring > or = 3 days of hospitalization .
6182826,symptomatic malignant pleural effusion,are,treated,pleurodesis,2,5,6,6,8,8,15,15,Patients with symptomatic malignant pleural effusion are usually treated with large-bore chest tube placement and pleurodesis requiring > or = 3 days of hospitalization .
6194701,rheumatoid arthritis,are,treated,slow-acting anti-rheumatic drugs,9,10,14,14,15,15,17,19,Rheumatologists usually recommend monthly blood monitoring when patients with rheumatoid arthritis ( RA ) are treated with slow-acting anti-rheumatic drugs ( SAARDs ) .
6371156,chronic viral hepatitis C,are,treated,pegylated interferon-ribavirin therapy,6,9,10,10,11,11,13,15,The great majority of patients with chronic viral hepatitis C are treated with pegylated interferon-ribavirin therapy .
6462775,bacillus Calmette-Guérin-unresponsive carcinoma,are,treated,radical cystectomy,2,4,7,7,8,8,10,11,Patients with bacillus Calmette-Guérin-unresponsive carcinoma in situ are treated with radical cystectomy or salvage intravesical chemotherapy .
6462775,bacillus Calmette-Guérin-unresponsive carcinoma,are,treated,salvage intravesical chemotherapy,2,4,7,7,8,8,13,15,Patients with bacillus Calmette-Guérin-unresponsive carcinoma in situ are treated with radical cystectomy or salvage intravesical chemotherapy .
6462775,in,are,treated,radical cystectomy,5,5,7,7,8,8,10,11,Patients with bacillus Calmette-Guérin-unresponsive carcinoma in situ are treated with radical cystectomy or salvage intravesical chemotherapy .
6462775,in,are,treated,salvage intravesical chemotherapy,5,5,7,7,8,8,13,15,Patients with bacillus Calmette-Guérin-unresponsive carcinoma in situ are treated with radical cystectomy or salvage intravesical chemotherapy .
7212505,inflammatory breast carcinoma,are,treated,anthracyclines,12,14,16,16,17,17,19,19,The rates of ALN pCR are nearly 50 % in patients with inflammatory breast carcinoma who are treated with anthracyclines and weekly paclitaxel before surgery .
7212505,inflammatory breast carcinoma,are,treated,weekly paclitaxel,12,14,16,16,17,17,21,22,The rates of ALN pCR are nearly 50 % in patients with inflammatory breast carcinoma who are treated with anthracyclines and weekly paclitaxel before surgery .
7353568,multicentric T-cell lymphoma,are,treated,CHOP chemotherapy protocols,2,4,5,5,7,7,9,11,"Dogs with multicentric T-cell lymphoma are commonly treated with CHOP chemotherapy protocols that include cyclophosphamide , doxorubicin , vincristine and prednisone ."
7455733,ST-segment elevation myocardial infarction,are,treated,primary percutaneous coronary intervention,12,15,20,20,21,21,23,26,The effect of oral beta-blocker therapy on long-term mortality in patients with ST-segment elevation myocardial infarction ( STEMI ) who are treated with primary percutaneous coronary intervention ( PCI ) and who have preserved left ventricular ejection fraction ( LVEF ) remains unclear .
7487593,low-grade gliomas,are,treated,gross total resection,8,9,10,10,12,12,14,16,"In the author 's experience , patients with low-grade gliomas are best treated with gross total resection in order to decrease the risk of recurrence with higher grade lesions ."
7707797,malignant diseases,are,treated,granulocyte-colony stimulating factor,2,3,4,4,5,5,7,9,Patients with malignant diseases are treated with granulocyte-colony stimulating factor ( G-CSF ) for the recovery of granulocytes after chemotherapy or hematopoietic cell ( HC ) transplantation .
7772736,multiple macular lesions,are,treated,the MB-MDT regimen,2,4,10,10,12,12,14,16,Patients with multiple macular lesions and those with neuritic leprosy are best treated with the MB-MDT regimen .
7772736,neuritic leprosy,are,treated,the MB-MDT regimen,8,9,10,10,12,12,14,16,Patients with multiple macular lesions and those with neuritic leprosy are best treated with the MB-MDT regimen .
7882327,cervical radiculopathy,are,treated,anterior cervical discectomy,2,3,6,6,8,8,10,12,Patients with cervical radiculopathy and/or myelopathy are often treated with anterior cervical discectomy and fusion .
7882327,cervical radiculopathy,are,treated,fusion,2,3,6,6,8,8,14,14,Patients with cervical radiculopathy and/or myelopathy are often treated with anterior cervical discectomy and fusion .
8019725,acute lymphoblastic leukaemia,are,treated,intrathecal chemotherapy,9,11,15,15,18,18,20,21,To reduce the risk of brain damage children with acute lymphoblastic leukaemia ( ALL ) are nowadays mainly treated with intrathecal chemotherapy ( ITC ) instead of central nervous system ( CNS ) radiation therapy ( CRT ) to prevent CNS relapse .
8019725,acute lymphoblastic leukaemia,are,treated,central nervous system ( CNS ) radiation therapy,9,11,15,15,18,18,27,34,To reduce the risk of brain damage children with acute lymphoblastic leukaemia ( ALL ) are nowadays mainly treated with intrathecal chemotherapy ( ITC ) instead of central nervous system ( CNS ) radiation therapy ( CRT ) to prevent CNS relapse .
8179555,advanced epithelial ovarian cancer,are,treated,platinum-paclitaxel chemotherapy,2,5,6,6,8,8,10,11,"Women with advanced epithelial ovarian cancer are routinely treated with platinum-paclitaxel chemotherapy following cytoreductive surgery , yet only approximately 20 % achieve long-term disease-free survival ."
8351141,severe angular and rotation changes,are,treated,fusions,22,26,27,27,29,29,31,31,"Debridement of degenerative distal interphalangeal joints with mild to moderate disease can provide satisfactory outcomes ; however , those joints with more severe angular and rotation changes are reliably treated with fusions ."
8354925,metastatic melanoma,are,treated,the combination of dacarbazine,24,25,26,26,27,27,29,32,"Numerous articles have reported an overall response rate of 47 % ( 95 % confidence limit , 39.25 to 54.75 ) when patients with metastatic melanoma are treated with the combination of dacarbazine ( DTIC ) , carmustine ( BCNU ) , cisplatin ( DDP ) , and TAM ( DBDT ) ."
8625423,well-differentiated liposarcomas ( WDLPS ) of the extremity,are,treated,surgical resection,2,9,12,12,13,13,16,17,"Patients with well-differentiated liposarcomas ( WDLPS ) of the extremity and trunk are treated primarily with surgical resection , with radiation used for a number of anecdotal reasons , including large size and positive margins ."
8949719,limited neurologic disability,are,treated,chemotherapy,13,15,16,16,17,17,19,19,"As a consequence , all physiological young patients with good performance status or limited neurologic disability are treated with chemotherapy ."
8949719,good performance status,are,treated,chemotherapy,9,11,16,16,17,17,19,19,"As a consequence , all physiological young patients with good performance status or limited neurologic disability are treated with chemotherapy ."
9217224,acute STEMI,are,treated,primary percutaneous coronary intervention,17,18,20,20,21,21,23,26,To evaluate the value of admission MPV and WBC count in predicting impaired reperfusion in patients with acute STEMI who are treated with primary percutaneous coronary intervention ( PCI ) .
9602165,inflammatory bowel disease,are,treated,immune-modulating medications,2,4,12,12,13,13,15,16,Patients with inflammatory bowel disease ( IBD ) have intestinal inflammation and are treated with immune-modulating medications .
9678774,multiple myeloma,are,treated,the anti-CD38 therapeutic monoclonal antibody,2,3,15,15,16,16,18,22,"Patients with multiple myeloma ( MM ) who are relapsed or refractory to standard treatment are treated with the anti-CD38 therapeutic monoclonal antibody , Daratumumab ."
10262919,progressive disease,are,treated,mitotane,2,3,4,4,6,6,8,8,"Patients with progressive disease are frequently treated with mitotane , alone or in combination with etoposide , doxorubicine and cisplatin ."
10277252,localized prostate cancer,are,treated,external radiotherapy,3,5,7,7,8,8,10,11,Purpose Men with localized prostate cancer often are treated with external radiotherapy ( RT ) over 8 to 9 weeks .
10437517,advanced head and neck squamous cell carcinomas,are,treated,concomitant chemotherapy,2,8,12,12,14,14,16,17,"Patients with advanced head and neck squamous cell carcinomas ( HNSCCs ) are often treated with concomitant chemotherapy and radiotherapy , but only 50 % is cured ."
10437517,advanced head and neck squamous cell carcinomas,are,treated,radiotherapy,2,8,12,12,14,14,19,19,"Patients with advanced head and neck squamous cell carcinomas ( HNSCCs ) are often treated with concomitant chemotherapy and radiotherapy , but only 50 % is cured ."
10746640,acid-related symptoms,are,treated,a standard dose of proton pump inhibitors,2,3,7,7,9,9,12,18,Patients with acid-related symptoms in general practice are often treated empirically with a standard dose of proton pump inhibitors ( PPIs ) .
10796890,stable angina,are,treated,combinations of these drugs,2,3,18,18,20,20,22,25,"Patients with stable angina not controlled by monotherapy with nitrates , beta blockers , or calcium channel blockers are often treated with combinations of these drugs ."
11038524,exocrine pancreatic insufficiency,are,treated,porcine pancreatic enzymes,2,4,5,5,7,7,9,11,Patients with exocrine pancreatic insufficiency are usually treated with porcine pancreatic enzymes but the bioavailability of these enzymes in the gut remains a matter of discussion .
11495259,advanced stage ovarian cancer,is,treated,surgery,3,6,17,17,19,19,21,21,"A patient with advanced stage ovarian cancer presenting with a CA-125 level of 2000 U/mL , who is initially treated with surgery followed by chemotherapy and has a normal CT scan and normal CA-125 at completion of her initial chemotherapy ."
11673741,recurrent hepatitis C,are,treated,interferon,2,4,14,14,16,16,18,18,Patients with recurrent hepatitis C ( HCV ) after liver transplantation ( OLT ) are often treated with interferon and ribavirin in an attempt to eradicate HCV and prevent cirrhosis .
11673741,recurrent hepatitis C,are,treated,ribavirin,2,4,14,14,16,16,20,20,Patients with recurrent hepatitis C ( HCV ) after liver transplantation ( OLT ) are often treated with interferon and ribavirin in an attempt to eradicate HCV and prevent cirrhosis .
11931564,endometrial carcinoma,are,treated,aromatase inhibitors,34,35,38,38,39,39,41,42,"Our study may provide important information on metabolism and synthesis of intratumoral estrogens with regard to the etiology and progression of endometrial carcinoma , thus helping to achieve improved clinical responses in patients with endometrial carcinoma , who are treated with aromatase inhibitors ."
11959875,renal diseases,are,treated,immunosuppressive drugs,2,3,4,4,6,6,8,9,"Children with renal diseases are typically treated with immunosuppressive drugs , which place them at high risk of reactivation of the BK virus ( BKV ) ."
12032633,pulmonary manifestations,are,treated,multiple medications,4,5,6,6,7,7,10,11,Most immunocompromised patients with pulmonary manifestations are treated empirically with multiple medications .
12123013,deficit,are,treated,stimulant medications,5,5,11,11,12,12,14,15,Millions of children with attention deficit hyperactivity disorder ( ADHD ) are treated with stimulant medications .
12215661,atrial fibrillation,are,treated,oral anticoagulants,5,6,11,11,13,13,15,16,"However , many patients with atrial fibrillation at elevated stroke risk are not treated with oral anticoagulants ."
12235988,autoimmune diseases,are,treated,potent immunosuppressive therapy,3,4,14,14,15,15,17,19,"When patients with autoimmune diseases , such as rheumatoid arthritis ( RA ) , are treated with potent immunosuppressive therapy , the risk of opportunistic diseases inevitably increases ."
12534397,immune checkpoint inhibitor-induced diarrhea,are,treated,corticosteroids,2,5,8,8,9,9,11,11,Patients with immune checkpoint inhibitor-induced diarrhea and colitis are treated with corticosteroids .
12871844,recurrent or incompletely corrected clubfoot,is,treated,revision surgery,3,7,14,14,15,15,18,19,A child with recurrent or incompletely corrected clubfoot after previous extensive soft tissue release is treated frequently with revision surgery .
12918941,diminished,is,treated,calcium,5,5,10,10,11,11,13,13,"Every clinical situation with a diminished state of calcium absorption is treated with calcium and vitamin D in varying doses whereas every disorder with an increased calcium absorptive or resorptive state is treated with improved diuresis in addition to antiresorptive drugs , such as bisphosphonates ."
12918941,diminished,is,treated,vitamin D,5,5,10,10,11,11,15,16,"Every clinical situation with a diminished state of calcium absorption is treated with calcium and vitamin D in varying doses whereas every disorder with an increased calcium absorptive or resorptive state is treated with improved diuresis in addition to antiresorptive drugs , such as bisphosphonates ."
12941431,cervical herniated nucleus pulposus,are,treated,an aggressive physical rehabilitation program,8,11,14,14,15,15,17,21,"In the authors ' clinic , patients with cervical herniated nucleus pulposus and radiculopathy are treated with an aggressive physical rehabilitation program ."
13207247,recurrent disease,are,treated,phosphoinositol-3-kinase ( PI3 K ) inhibitors,2,3,4,4,6,6,10,15,Patients with recurrent disease are frequently treated with chemoimmunotherapy or phosphoinositol-3-kinase ( PI3 K ) inhibitors .
13207247,recurrent disease,are,treated,chemoimmunotherapy,2,3,4,4,6,6,8,8,Patients with recurrent disease are frequently treated with chemoimmunotherapy or phosphoinositol-3-kinase ( PI3 K ) inhibitors .
13236959,advanced squamous carcinoma of the head,are,treated,concurrent chemoradiotherapy schedules,2,7,11,11,12,12,14,16,Patients with advanced squamous carcinoma of the head and neck who are treated with concurrent chemoradiotherapy schedules are often referred for gastrostomy tube ( G-tube ) insertion .
13454069,severe carditis,are,treated,corticosteroids,2,3,10,10,12,12,14,14,"Patients with severe carditis , congestive heart failure and/or pericarditis are best treated with corticosteroids as these are more potent anti-inflammatory agents than salicylates ."
13454069,congestive heart failure,are,treated,corticosteroids,5,7,10,10,12,12,14,14,"Patients with severe carditis , congestive heart failure and/or pericarditis are best treated with corticosteroids as these are more potent anti-inflammatory agents than salicylates ."
13506667,T-cell lymphoblastic lymphoma,are,treated,high-intensity chemotherapy regimens,3,5,9,9,10,10,12,14,"Adult patients with T-cell lymphoblastic lymphoma ( T-LBL ) are treated with high-intensity chemotherapy regimens , but the response rate is still unsatisfactory because of frequent drug resistance ."
13536549,cerebral palsy,are,treated,botulinum toxin A,2,3,7,7,9,9,11,13,Children with cerebral palsy ( CP ) are routinely treated with botulinum toxin A ( BoNT-A ) .
13680532,hormone-dependent breast cancer,are,treated,aromatase inhibitors,2,4,5,5,6,6,8,9,Women with hormone-dependent breast cancer are treated with aromatase inhibitors ( AI ) to slow disease progression by decreasing estrogen levels .
13723999,a cervical kyphosis,are,treated,an ACDF,9,11,12,12,14,14,16,17,The data presented here suggests that myelopathic patients with a cervical kyphosis are best treated with an ACDF and that patients with a normal cervical lordosis are best treated with a posterior approach .
13723999,a normal cervical lordosis,are,treated,a posterior approach,22,25,26,26,28,28,30,32,The data presented here suggests that myelopathic patients with a cervical kyphosis are best treated with an ACDF and that patients with a normal cervical lordosis are best treated with a posterior approach .
13775725,incidental atherosclerotic renal artery stenosis,are,treated,ACE inhibitors,7,11,15,15,17,17,19,20,It has been reported that patients with incidental atherosclerotic renal artery stenosis ( ARAS ) are sometimes treated with ACE inhibitors before being considered for renal revascularization .
14097658,high weight,are,treated,PEG-IFN-α2a,21,22,24,24,25,25,27,27,"In conclusion , the better option seems to be to treat patients with weight-adjusted PEG-IFN doses , particularly for patients with high weight who are treated with PEG-IFN-α2a ."
14297952,anovulatory polycystic ovary syndrome,are,treated,the biguanide,2,5,16,16,18,18,20,21,Women with anovulatory polycystic ovary syndrome ( PCOS ) are generally insulin-resistant and as a consequence are often treated with the biguanide metformin .
14377773,bipolar disorder,is,treated,antidepressant drugs,25,26,27,27,28,28,30,31,"The 5-HTTLPR polymorphism could be a useful contributor , among other clinical variables , to predict the risk for manic switches when a patient with bipolar disorder is treated with antidepressant drugs ."
14393958,esophageal cancer,are,treated,definitive chemoradiotherapy,2,3,4,4,6,6,8,9,Patients with esophageal cancer are often treated with definitive chemoradiotherapy ( dCRT ) .
15191258,a displacement greater,are,treated,open reduction,4,6,18,18,19,19,21,22,Mason II fractures with a displacement greater than 10 ° or a depression of greater than 2 millimeters are treated with open reduction and use of biodegradable implants constructed of polylactide .
15191258,a displacement greater,are,treated,use of biodegradable implants,4,6,18,18,19,19,24,27,Mason II fractures with a displacement greater than 10 ° or a depression of greater than 2 millimeters are treated with open reduction and use of biodegradable implants constructed of polylactide .
