sentence_id,medical,are,treated,prep,treatment,medical_first_index,medical_last_index,are_first_index,are_last_index,treated_first_index,treated_last_index,prep_first_index,prep_last_index,treatment_first_index,treatment_last_index,sentence_text
634592,Aggressive fibromatosis,is,treated,by,resection,0,1,2,2,3,3,4,4,5,5,Aggressive fibromatosis is treated by resection with an adequate safety margin .
657794,Mandibular localization of this tumor,is,treated,with,resection of the tumor area,0,4,5,5,7,7,8,8,9,13,Mandibular localization of this tumor is usually treated with resection of the tumor area .
665727,such diseases,is,treated,by,governments,6,7,10,10,11,11,16,16,17,17,"Usually , control and eradication of such diseases as CBPP is treated as a public good by governments and to achieve this , governments are usually assisted by nongovernment organisations , bilateral government programmes and international donors ."
736850,Acute arterial ischemia,is,treated,by,revascularization,0,2,3,3,4,4,5,5,10,10,"Acute arterial ischemia is treated by immediate open exploration , revascularization and bowel resection ."
736850,Acute arterial ischemia,is,treated,by,bowel resection,0,2,3,3,4,4,5,5,12,13,"Acute arterial ischemia is treated by immediate open exploration , revascularization and bowel resection ."
736850,Acute arterial ischemia,is,treated,by,immediate open exploration,0,2,3,3,4,4,5,5,6,8,"Acute arterial ischemia is treated by immediate open exploration , revascularization and bowel resection ."
736851,Venous ischemia,is,treated,by,catheter anticoagulation,0,1,2,2,3,3,5,5,6,7,"Venous ischemia is treated best by catheter anticoagulation , while in NOMI restoration of altered hemodynamics and selective vasodilatation is the therapy of choice ."
913451,some sexually-transmitted diseases,are,treated,by,a single 1-g dose of azithromycin,3,5,6,6,8,8,9,9,10,15,"In addition , some sexually-transmitted diseases are effectively treated by a single 1-g dose of azithromycin ; clinical and microbiological responses were comparable to those recorded using doxycycline given twice daily for 7 days ."
1024976,hereditary retinoblastoma patients,are,treated,with,radiation,1,3,4,4,5,5,6,6,7,7,"When hereditary retinoblastoma patients are treated with radiation , the incidence of osteosarcoma within the treatment field is extremely high compared to other cancer patients treated with radiotherapy ."
1044976,ST-elevation myocardial infarction,is,treated,with,percutaneous coronary intervention,1,3,12,12,13,13,14,14,15,17,Traditionally ST-elevation myocardial infarction ( STEMI ) with multivessel coronary artery disease is treated with percutaneous coronary intervention ( PCI ) to culprit lesion only .
1044976,ST-elevation myocardial infarction,is,treated,with,PCI,1,3,12,12,13,13,14,14,19,19,Traditionally ST-elevation myocardial infarction ( STEMI ) with multivessel coronary artery disease is treated with percutaneous coronary intervention ( PCI ) to culprit lesion only .
1135202,human immunodeficiency virus,is,treated,with,antiretroviral therapy,2,4,9,9,10,10,11,11,12,13,Persons with human immunodeficiency virus ( HIV ) that is treated with antiretroviral therapy have improved longevity but face an elevated risk of myocardial infarction ( MI ) due to common MI risk factors and HIV-specific factors .
1192163,distal DVT,is,treated,by,anticoagulants,6,7,8,8,13,13,14,14,15,15,"However , in many centres , distal DVT is systematically screened for and treated by anticoagulants ."
1205580,Large retention of the effusion,is,treated,by,percutaneous blind puncture,0,4,5,5,6,6,8,8,9,11,"Large retention of the effusion is treated conventionally by percutaneous blind puncture , while possible injuries to the myocardium are avoided feasibly by ultrasonically-guided puncture even in case that the effusion remains moderately or unevenly inside the pericardial space ."
1218729,human,is,treated,by,Fenton 's oxidation process,11,11,12,12,13,13,14,14,15,18,"Ametryn , a herbicide detrimental to aquatic life and also to human is treated by Fenton 's oxidation process using synthesized iron mineral , jarosite ."
1218729,a herbicide detrimental,is,treated,by,Fenton 's oxidation process,2,4,12,12,13,13,14,14,15,18,"Ametryn , a herbicide detrimental to aquatic life and also to human is treated by Fenton 's oxidation process using synthesized iron mineral , jarosite ."
1235628,Hepatocellular carcinoma ( HCC ) patients with severe cirrhosis,are,treated,with,supportive care,0,8,9,9,11,11,12,12,13,14,Hepatocellular carcinoma ( HCC ) patients with severe cirrhosis are usually treated with supportive care because of their poor prognosis .
1248725,other subtypes of AML,are,treated,with,cytotoxic agents,10,13,14,14,15,15,17,17,18,19,"Differentiation therapy can supplement the therapy of APL , but other subtypes of AML are treated principally with cytotoxic agents , with few lasting remissions ."
1248725,other subtypes of AML,are,treated,with,few lasting remissions,10,13,14,14,15,15,21,21,22,24,"Differentiation therapy can supplement the therapy of APL , but other subtypes of AML are treated principally with cytotoxic agents , with few lasting remissions ."
1255350,most patients,are,treated,with,therapies,16,17,18,18,20,20,21,21,22,22,"However , not all patients are eligible for transplantation and due to limited organ availability , most patients are currently treated with therapies using artificial kidney and artificial liver devices ."
1273374,Genito-urinary ptosis,is,treated,by,the same time,0,1,2,2,3,3,4,4,5,7,Genito-urinary ptosis is treated by the same time .
1302237,wild-type cells,are,treated,with,RA,13,14,15,15,16,16,17,17,18,18,"ST increased the basal amount of activated ERK2 , which normally increases when wild-type cells are treated with RA ."
1402542,Cognitive impairment,is,treated,with,cholinesterase inhibitors,0,1,2,2,3,3,4,4,5,6,Cognitive impairment is treated with cholinesterase inhibitors that slow cognitive decline but cause significant adverse effects .
1423120,Hepatocellular carcinomas,are,treated,with,transcatheter chemoembolization,0,1,5,5,7,7,8,8,11,12,"Hepatocellular carcinomas ( HCCs ) are currently treated with surgery , transcatheter chemoembolization and percutaneous alcoholization ; all methods require accurate in vivo anatomopathology of the lesion ."
1423120,Hepatocellular carcinomas,are,treated,with,percutaneous alcoholization,0,1,5,5,7,7,8,8,14,15,"Hepatocellular carcinomas ( HCCs ) are currently treated with surgery , transcatheter chemoembolization and percutaneous alcoholization ; all methods require accurate in vivo anatomopathology of the lesion ."
1423120,Hepatocellular carcinomas,are,treated,with,surgery,0,1,5,5,7,7,8,8,9,9,"Hepatocellular carcinomas ( HCCs ) are currently treated with surgery , transcatheter chemoembolization and percutaneous alcoholization ; all methods require accurate in vivo anatomopathology of the lesion ."
1437568,Many patients,are,treated,with,"a combination of chemotherapy , resection , and limb salvage protocols",0,1,2,2,3,3,4,4,5,15,"Many patients are treated with a combination of chemotherapy , resection , and limb salvage protocols ."
1478704,The critically ill patient,is,treated,with,antibiotics,0,3,4,4,6,6,7,7,8,8,The critically ill patient is often treated with antibiotics with a broad antibacterial spectrum and overgrowth of Gram negative bacteria will take place in the gut favouring the translocation phenomenon .
1515695,a potentially reversible cause of dementia,is,treated,by,operative placement of a ventriculoperitoneal shunt,8,13,18,18,20,20,21,21,22,27,Idiopathic normal pressure hydrocephalus ( iNPH ) is a potentially reversible cause of dementia and gait disturbance that is typically treated by operative placement of a ventriculoperitoneal shunt .
1589154,Unresectable lesions,are,treated,with,GKS,0,1,2,2,4,4,5,5,10,10,Unresectable lesions are often treated with gamma knife surgery ( GKS ) .
1589154,Unresectable lesions,are,treated,with,gamma knife surgery,0,1,2,2,4,4,5,5,6,8,Unresectable lesions are often treated with gamma knife surgery ( GKS ) .
1593664,These purified RNA-protein complexes,are,treated,with,proteinase K,0,3,4,4,7,7,8,8,9,10,"These purified RNA-protein complexes are isolated and treated with proteinase K , which removes protein but leaves intact RNA ."
1595943,Limited brain metastasis,is,treated,with,stereotactic radiosurgery,0,2,3,3,4,4,6,6,7,8,Limited brain metastasis is treated definitively with stereotactic radiosurgery when surgical resection is not indicated .
1626199,incapacitating obsessive-compulsive neurosis,is,treated,with,"a combination of insight-oriented , group , family , and behavioral therapies",4,6,7,7,8,8,16,16,17,28,"A case of severely incapacitating obsessive-compulsive neurosis is treated in an inpatient setting for 13 weeks with a combination of insight-oriented , group , family , and behavioral therapies ."
1633838,Trigeminal neuralgia,is,treated,with,percutaneous balloon compression,0,1,2,2,4,4,5,5,6,8,"Trigeminal neuralgia is commonly treated with percutaneous balloon compression due to the high success rate , technical simplicity and cost efficiency.1 - 3 The procedure carries certain risks , most notably dysesthesias and masseter muscle weakness.4 5 However , more severe complications are rare ."
1669474,Elderly patients with diffuse large B-cell lymphoma,are,treated,with,standard immunochemotherapy,0,6,10,10,13,13,14,14,15,16,"Elderly patients with diffuse large B-cell lymphoma ( DLBCL ) are frequently not treated with standard immunochemotherapy , and this influences survival negatively ."
1691302,Ovarian granulosa cell tumors,are,treated,by,surgery,0,3,7,7,9,9,10,10,11,11,Ovarian granulosa cell tumors ( GCT ) are usually treated by surgery and chemotherapy .
1691302,Ovarian granulosa cell tumors,are,treated,by,chemotherapy,0,3,7,7,9,9,10,10,13,13,Ovarian granulosa cell tumors ( GCT ) are usually treated by surgery and chemotherapy .
1723029,Friend murine erythroleukemia cells,are,treated,with,100 microM hemin,1,4,5,5,6,6,7,7,10,12,"When Friend murine erythroleukemia cells are treated with IFN-beta plus 100 microM hemin , the antiviral state is not observed , whereas the antiviral effect of IFN-gamma is unaffected by hemin treatment ."
1723029,Friend murine erythroleukemia cells,are,treated,with,IFN-beta,1,4,5,5,6,6,7,7,8,8,"When Friend murine erythroleukemia cells are treated with IFN-beta plus 100 microM hemin , the antiviral state is not observed , whereas the antiviral effect of IFN-gamma is unaffected by hemin treatment ."
1782573,Inflammatory bowel disease,is,treated,with,corticosteroids,0,2,6,6,8,8,9,9,10,10,"Inflammatory bowel disease ( IBD ) is commonly treated with corticosteroids and anti-tumor necrosis factor ( TNF ) drugs ; however , medications have well-described adverse effects ."
1782573,Inflammatory bowel disease,is,treated,with,anti-tumor necrosis factor ( TNF ) drugs,0,2,6,6,8,8,9,9,12,18,"Inflammatory bowel disease ( IBD ) is commonly treated with corticosteroids and anti-tumor necrosis factor ( TNF ) drugs ; however , medications have well-described adverse effects ."
1940026,Digital melanoma,is,treated,with,amputation,0,1,2,2,4,4,5,5,6,6,Digital melanoma is commonly treated with amputation or wide local excision .
1940026,Digital melanoma,is,treated,with,wide local excision,0,1,2,2,4,4,5,5,8,10,Digital melanoma is commonly treated with amputation or wide local excision .
1946770,Most cases,are,treated,by,antibiotic therapy,0,1,2,2,4,4,5,5,6,7,"Most cases are successfully treated by antibiotic therapy , but nearly 10 % may progress to the fulminative form of this condition ."
1968450,The most common conditions,are,treated,with,tracheobronchial stents,0,3,5,5,6,6,7,7,8,9,The most common conditions that are treated with tracheobronchial stents are primary lung cancer and metastatic disease .
2018542,Patients intolerant,are,treated,with,sunitinib,0,1,14,14,15,15,16,16,17,17,Patients intolerant to imatinib ( 5 % ) and those who progress on imatinib are treated with sunitinib .
2046944,Venous thromboembolism,are,treated,with,vitamin K antagonists,0,1,8,8,9,9,10,10,11,13,Venous thromboembolism and atrial fibrillation are common and are treated with vitamin K antagonists in 1.7 % of the total population in the western world .
2046944,atrial fibrillation,are,treated,with,vitamin K antagonists,3,4,8,8,9,9,10,10,11,13,Venous thromboembolism and atrial fibrillation are common and are treated with vitamin K antagonists in 1.7 % of the total population in the western world .
2046944,common,are,treated,with,vitamin K antagonists,6,6,8,8,9,9,10,10,11,13,Venous thromboembolism and atrial fibrillation are common and are treated with vitamin K antagonists in 1.7 % of the total population in the western world .
2068983,remaining,are,treated,by,chronic ambulatory peritoneal dialysis,16,16,18,18,19,19,20,20,21,24,"One third of patients with CRF are renal transplant recipients , while 6 % of the remaining patients are treated by chronic ambulatory peritoneal dialysis , 6 % by domiciliary haemodialysis and 57 % by haemodialysis in a dialysis centre or autodialysis ."
2080433,other REM sleep associated symptoms,are,treated,with,REM sleep suppressing antidepressants,2,6,7,7,9,9,10,10,11,14,Cataplexy and other REM sleep associated symptoms are effectively treated with REM sleep suppressing antidepressants .
2118736,The two major deficits,are,treated,with,metformin,0,3,17,17,19,19,20,20,21,21,"The two major deficits in type 2 diabetes , insulin resistance and impaired beta cell function , are often treated with metformin and incretin-based drugs , respectively ."
2118736,The two major deficits,are,treated,with,incretin-based drugs,0,3,17,17,19,19,20,20,23,24,"The two major deficits in type 2 diabetes , insulin resistance and impaired beta cell function , are often treated with metformin and incretin-based drugs , respectively ."
2118736,impaired beta cell function,are,treated,with,metformin,12,15,17,17,19,19,20,20,21,21,"The two major deficits in type 2 diabetes , insulin resistance and impaired beta cell function , are often treated with metformin and incretin-based drugs , respectively ."
2118736,impaired beta cell function,are,treated,with,incretin-based drugs,12,15,17,17,19,19,20,20,23,24,"The two major deficits in type 2 diabetes , insulin resistance and impaired beta cell function , are often treated with metformin and incretin-based drugs , respectively ."
2130281,Pediatric ankle fractures,are,treated,by,immobilization,0,2,3,3,5,5,6,6,7,7,"Pediatric ankle fractures are usually treated by immobilization with either a posterior splint , cast , or ankle brace ."
2132169,Most hypertensive dialysis patients,are,treated,with,ACEI,0,3,4,4,6,6,7,7,13,13,Most hypertensive dialysis patients are currently treated with angiotensin converting enzyme inhibitors ( ACEI ) and angiotensin receptor blockers ( ARB ) .
2132169,Most hypertensive dialysis patients,are,treated,with,angiotensin receptor blockers,0,3,4,4,6,6,7,7,16,18,Most hypertensive dialysis patients are currently treated with angiotensin converting enzyme inhibitors ( ACEI ) and angiotensin receptor blockers ( ARB ) .
2132169,Most hypertensive dialysis patients,are,treated,with,ARB,0,3,4,4,6,6,7,7,20,20,Most hypertensive dialysis patients are currently treated with angiotensin converting enzyme inhibitors ( ACEI ) and angiotensin receptor blockers ( ARB ) .
2132169,Most hypertensive dialysis patients,are,treated,with,angiotensin converting enzyme inhibitors,0,3,4,4,6,6,7,7,8,11,Most hypertensive dialysis patients are currently treated with angiotensin converting enzyme inhibitors ( ACEI ) and angiotensin receptor blockers ( ARB ) .
2173987,Breakthrough pain,is,treated,with,short-acting oral opioids,0,1,2,2,4,4,5,5,6,8,"Breakthrough pain is usually treated with short-acting oral opioids , most of which provide some relief after 15 - 20 minutes , with peak effects after 30 - 45 minutes ."
2204640,ethanolic extracts of GAD,are,treated,with,Triton X-100,7,10,11,11,12,12,13,13,14,15,HMW-GAD disappears from the chromatographic profiles if ethanolic extracts of GAD are treated with Triton X-100 before the chromatographic procedure .
2221722,Displaced and unstable extra-articular fractures of the proximal humerus,are,treated,by,operative reduction,0,8,9,9,10,10,11,11,12,13,Displaced and unstable extra-articular fractures of the proximal humerus are treated by operative reduction and fixation using various techniques such as fixed plates and intramedullary implants .
2221722,Displaced and unstable extra-articular fractures of the proximal humerus,are,treated,by,fixation,0,8,9,9,10,10,11,11,15,15,Displaced and unstable extra-articular fractures of the proximal humerus are treated by operative reduction and fixation using various techniques such as fixed plates and intramedullary implants .
2224996,Esophageal strictures,are,treated,with,self-expanding metalicic stents,0,1,6,6,7,7,8,8,9,11,Esophageal strictures due to malignant diseases are treated with self-expanding metalicic stents .
2290833,juvenile polyposis,is,treated,with,ileorectal anastomosis,2,3,4,4,6,6,7,7,10,11,"Consequently , juvenile polyposis is best treated with colectomy and ileorectal anastomosis , and repeated multiple polypectomies are now recommended in Peutz-Jeghers polyposis , in combination with laparotomy when feasible ."
2290833,juvenile polyposis,is,treated,with,colectomy,2,3,4,4,6,6,7,7,8,8,"Consequently , juvenile polyposis is best treated with colectomy and ileorectal anastomosis , and repeated multiple polypectomies are now recommended in Peutz-Jeghers polyposis , in combination with laparotomy when feasible ."
2358045,increasing,are,treated,with,biocompatible dialysates,1,1,5,5,7,7,8,8,9,10,"An increasing proportion of patients are now treated with biocompatible dialysates , i.e. with physiological pH and lower GDP concentrations ."
2384699,more patients,are,treated,with,this class of drugs,8,9,10,10,11,11,12,12,13,16,Familiarity with these hematologic changes is prudent as more patients are treated with this class of drugs .
2388098,Unresectable mCRC,is,treated,with,systemic chemotherapy,0,1,2,2,4,4,5,5,6,7,Unresectable mCRC is typically treated with systemic chemotherapy .
2405866,Diabetic patients,are,treated,with,an ACE inhibitor,0,1,2,2,4,4,5,5,11,13,Diabetic patients are often treated with a lipid lowering statin and an ACE inhibitor or angiotensin receptor antagonist against hypertension or albuminuria .
2405866,Diabetic patients,are,treated,with,a lipid lowering statin,0,1,2,2,4,4,5,5,6,9,Diabetic patients are often treated with a lipid lowering statin and an ACE inhibitor or angiotensin receptor antagonist against hypertension or albuminuria .
2425227,bottom,is,treated,with,binder,4,4,6,6,8,8,9,9,10,10,"In such application , bottom ash is often treated with binder to improve its mechanical features ."
2483501,Hereditary hemochromatosis,is,treated,by,therapeutic phlebotomy,0,1,5,5,6,6,7,7,8,9,Hereditary hemochromatosis ( HH ) is treated by therapeutic phlebotomy to reduce excess body iron .
2541943,Many patients with Parkinson 's disease,are,treated,with,physiotherapy,0,5,6,6,7,7,8,8,9,9,Many patients with Parkinson 's disease are treated with physiotherapy .
2545561,Such patients,are,treated,with,anti-anginal therapy,0,1,2,2,4,4,6,6,7,8,Such patients are commonly treated initially with anti-anginal therapy ; if ischaemic symptoms persist they often undergo revascularization ( bypass or angioplasty ) .
2563050,Displaced intra-articular calcaneal fractures,are,treated,by,internal fixation,0,3,4,4,6,6,7,7,11,12,Displaced intra-articular calcaneal fractures are frequently treated by open reduction and internal fixation .
2563050,Displaced intra-articular calcaneal fractures,are,treated,by,open reduction,0,3,4,4,6,6,7,7,8,9,Displaced intra-articular calcaneal fractures are frequently treated by open reduction and internal fixation .
2583336,Subclavian artery stenosis,is,treated,with,endovascular techniques,0,2,14,14,18,18,19,19,20,21,"Subclavian artery stenosis , a well-recognized cause of reduced internal mammary artery flow , is easily and effectively treated with endovascular techniques ."
2583336,a well-recognized cause of reduced internal mammary artery flow,is,treated,with,endovascular techniques,4,12,14,14,18,18,19,19,20,21,"Subclavian artery stenosis , a well-recognized cause of reduced internal mammary artery flow , is easily and effectively treated with endovascular techniques ."
2594090,Seasonal atopic conjunctivitis,is,treated,with,short courses of corticosteroids,0,2,3,3,4,4,5,5,10,13,"Seasonal atopic conjunctivitis is treated with antihistamines , cromoglycate and short courses of corticosteroids , in severe cases with subcutaneous or sublingual immunotherapy ."
2594090,Seasonal atopic conjunctivitis,is,treated,with,antihistamines,0,2,3,3,4,4,5,5,6,6,"Seasonal atopic conjunctivitis is treated with antihistamines , cromoglycate and short courses of corticosteroids , in severe cases with subcutaneous or sublingual immunotherapy ."
2594090,Seasonal atopic conjunctivitis,is,treated,with,cromoglycate,0,2,3,3,4,4,5,5,8,8,"Seasonal atopic conjunctivitis is treated with antihistamines , cromoglycate and short courses of corticosteroids , in severe cases with subcutaneous or sublingual immunotherapy ."
2598273,Acute PH,is,treated,with,analgesics,0,1,2,2,3,3,4,4,5,5,"Acute PH is treated with analgesics , antiphlogistics and/or muscle relaxants ; chronic PH with thymoleptics ( e.g. Amitryptiline or Amitryptiline oxide ) ."
2598273,Acute PH,is,treated,with,antiphlogistics,0,1,2,2,3,3,4,4,7,7,"Acute PH is treated with analgesics , antiphlogistics and/or muscle relaxants ; chronic PH with thymoleptics ( e.g. Amitryptiline or Amitryptiline oxide ) ."
2598273,Acute PH,is,treated,with,muscle relaxants,0,1,2,2,3,3,4,4,9,10,"Acute PH is treated with analgesics , antiphlogistics and/or muscle relaxants ; chronic PH with thymoleptics ( e.g. Amitryptiline or Amitryptiline oxide ) ."
2611845,Dentigerous cysts,are,treated,by,decompression of cyst,0,1,2,2,3,3,6,6,11,13,"Dentigerous cysts are treated most commonly by enucleation , Marsupialization and decompression of cyst by fenestration ."
2611845,Dentigerous cysts,are,treated,by,enucleation,0,1,2,2,3,3,6,6,7,7,"Dentigerous cysts are treated most commonly by enucleation , Marsupialization and decompression of cyst by fenestration ."
2611845,Dentigerous cysts,are,treated,by,Marsupialization,0,1,2,2,3,3,6,6,9,9,"Dentigerous cysts are treated most commonly by enucleation , Marsupialization and decompression of cyst by fenestration ."
2643513,an inflammatory condition,is,treated,with,corticosteroids,11,13,22,22,23,23,24,24,25,25,"A punch biopsy later confirmed the diagnosis of bullous pemphigoid , an inflammatory condition that most commonly occurs in older adults and is treated with corticosteroids ."
2643513,bullous pemphigoid,is,treated,with,corticosteroids,8,9,22,22,23,23,24,24,25,25,"A punch biopsy later confirmed the diagnosis of bullous pemphigoid , an inflammatory condition that most commonly occurs in older adults and is treated with corticosteroids ."
2677087,Complicated pneumonia,is,treated,with,oral antibiotics,0,1,2,2,3,3,4,4,14,15,"Complicated pneumonia is treated with a prolonged course of intravenous antibiotics , and then oral antibiotics ."
2677087,Complicated pneumonia,is,treated,with,a prolonged course of intravenous antibiotics,0,1,2,2,3,3,4,4,5,10,"Complicated pneumonia is treated with a prolonged course of intravenous antibiotics , and then oral antibiotics ."
2677090,Most patients,are,treated,by,drainage,0,1,2,2,3,3,4,4,5,5,"Most patients are treated by drainage and more extensive surgery is rarely needed ; in any event , in low-income and middle-income countries , resources for extensive surgeries are scarce ."
2731955,The different subgroups,are,treated,by,pancreatoduodenectomy,0,2,8,8,9,9,10,10,11,11,The different subgroups have similar clinical presentation and are treated by pancreatoduodenectomy with curative intent .
2741821,young children,are,treated,with,CSI,11,12,20,20,21,21,22,22,23,23,Early and more intensive psychoeducational stimulation may be needed in very young children presenting with low initial FSIQ scores who are treated with CSI and additional chemotherapy following isolated CNS relapse in ALL .
2741821,young children,are,treated,with,additional chemotherapy,11,12,20,20,21,21,22,22,25,26,Early and more intensive psychoeducational stimulation may be needed in very young children presenting with low initial FSIQ scores who are treated with CSI and additional chemotherapy following isolated CNS relapse in ALL .
2750345,the increased clinical restenosis,is,treated,with,non-stent interventions,4,7,12,12,13,13,14,14,15,16,This may explain that the increased clinical restenosis after positive remodeling lesions is treated with non-stent interventions .
2769163,Average characteristics of partially coherent electromagnetic beams,are,treated,with,the paraxial approximation,0,6,7,7,8,8,9,9,10,12,Average characteristics of partially coherent electromagnetic beams are treated with the paraxial approximation .
